Ticker,2018 MC,2019 MC,2020 MC,2021 MC
MAPT3,6563214.198703766,67715700.0,52099416.05140686,38545860.0
DMMO3,4994193681.598193,1493161988.477827,708462138.9006785,265036188.85387266
PDGR3,611295916.8221408,406979872.83318096,216901996.4364695,74897515.95059772
UCAS3,140423768.1152344,254471204.93774417,268518478.78417975,278223746.52099615
TXRX3,7023785.438578718,7406901.155578965,138326002.19536492,72366275.26132403
BAZA3,491392926.7183922,869837494.634243,1169852943.2048235,1224083350.2714477
BIOM3,550620223.6441872,840423576.5697131,1098650469.8279178,879733707.6412317
ROMI3,378264253.3087758,859002640.4657602,1085405447.7636557,1341333135.7230139
CGRA3,349594727.8118359,484477077.6638435,601411604.142742,697518589.0061934
FHER3,242357849.99999997,194424847.35014436,159417610.05449292,989358646.1988448
MWET3,9830316.354599236,9802309.781931464,81471198.01488572,31507424.299065415
ELET3,30758342844.290623,49283432484.68594,53348203940.931,52281973509.64284
CRPG3,584847808.321659,624048019.296869,751662803.0389973,1821463147.2236426
ITUB3,273563995703.18195,308824783777.8742,276922142520.86414,196740878218.89462
BSLI3,1263903071.7468262,1996735292.1829224,6282177510.7421875,9111806246.429441
ALPA3,7956307780.482649,16766117692.758692,23198996481.551186,19006886281.995716
IGBR3,21008400.24508763,40641252.319771595,125050007.13775875,31887751.82012848
SQIA3,541283411.4074707,2098952726.5136719,2013281086.5234375,1417401274.8779297
UGPA3,26890350817.9803,26408346677.838783,24917231141.27908,15821991947.352224
ENAT3,1645839299.8584592,3677382686.1900535,3078133237.9162965,3502073824.5392985
OSXB3,10860738.42123009,10294090.99693036,63842254.95530074,21469633.876349743
TEND3,1469527763.7606535,2839499033.681049,2885159224.2834845,1607954803.5378196
TCSA3,1067478400.0,1347231303.8330078,735455791.1499023,265765304.27703857
AZEV3,355725272.5967407,53121628.54967117,102508043.37100983,86601621.68550491
CALI3,3849742.27412933,3849742.27412933,3849742.27412933,3849742.27412933
LUPA3,47768393.56606524,55904064.67686816,70462418.64952163,154900854.33600563
CYRE3,4908366323.305104,10101200997.474302,10851679381.847853,6067473371.17301
TGMA3,1597158578.0756054,2347773160.4741426,1705057913.5291293,1030606262.1724211
BMKS3,116502185.66336328,117028018.12510157,110820155.82324803,108407856.03668262
RSID3,89613988.69508761,154203686.27012694,112102025.26833463,160121597.4209859
CEBR3,-20190470.29932661,-39936260.64910786,-123478648.69676208,1163329867.7987204
EKTR3,2682129361.313086,4021923233.647656,3767451562.2320313,6001042652.279688
CPFE3,25428030888.810287,31846135299.52018,32880496153.697094,30914866144.53125
REDE3,12093657146.644592,15789159385.757446,20897639340.133667,13801492719.49768
MERC3,65181651.76710453,94111918.2322522,327949179.7431205,337257493.7759336
CRDE3,39644966.27296303,70347457.66528983,67093557.49004932,40207691.308770604
AALR3,1550657581.3370268,2119626504.5432692,1306314603.9090297,1761759396.1517053
BRPR3,3765711378.373826,6649694656.432151,4591790687.755157,3466036807.140878
ODPV3,6366144006.943197,7984152301.897445,7179695748.649429,6537875812.345477
TIMS3,28681861071.062046,37927827063.584526,35459007613.77715,31828392405.201347
RPMG3,202376060.60588384,346543613.3234534,190869724.27366465,189516039.54483825
BRAP3,7317169096.967865,9452477803.95158,16038561845.107029,9318268219.879612
CSNA3,10167302458.555204,18183837392.556606,41131452557.50959,33618354933.911373
AZUL4,12527495471.770336,20280622800.067287,13675848957.857046,8476938814.958383
EPAR3,47405317.057942845,90946874.53463332,168667823.5235406,194971079.37892398
PNVL3,1490033342.5754206,2861406001.88551,3180745269.9987636,1978792382.912958
MILS3,1016823906.1696656,2482665539.8635626,1461090319.624571,1563255937.430361
BMEB3,256096282.79954562,480597140.7042212,713140449.6452488,1172903643.009357
TRPL3,7666609494.858846,12973198969.387646,15108011623.061968,17659780208.545883
CEEB3,5182856074.945866,8929878174.125948,10058184484.558578,8653438813.860254
BDLL3,79490135.04950495,37422709.03396985,42877914.380504504,18703561.18811881
ENGI11,10812440911.264477,15824791997.929401,15034135086.682016,12875148712.40443
FRTA3,10325704.545901105,16108934.630386075,12466914.369774358,10205660.01641318
EVEN3,1101623593.1091309,2856877432.6782227,2255202513.7634277,1345203551.147461
EUCA3,672015824.8112746,4540038311.217645,1658255076.085219,880560309.6344063
GUAR3,9082175272.99844,11060445074.892696,7127715228.2259035,4917090703.9769335
MGLU3,36076539607.68054,76599989960.64697,164303612483.86676,47580451077.61642
USIM3,13151164120.040047,11490935301.954063,18414284025.7911,18326421060.42448
BKBR3,5628070045.1122,4857028086.519057,2988049676.740943,1639315389.8396845
MRFG3,3032701823.555147,5532181152.747549,8059432513.357845,14720116135.705883
MNPR3,16188228.525299005,41890592.562102355,49700702.23642173,45369640.09356788
ENEV3,5091720622.165271,13825808880.070572,19651699183.87215,17911210485.529606
TCNO3,8406578.0196476,8636895.0,13588714.195969105,10824908.37254405
APER3,260152070.6962557,437875862.2069749,470972050.5164903,510982347.2629448
POMO3,3116509017.8179793,4324405808.651833,2778775097.479816,2648700130.2325583
BBSE3,42935428506.788574,61666260893.737274,54614028607.8796,39849502529.80666
BPAC11,15345546574.598022,57336777149.409676,75629421066.53111,70106294581.5555
CGAS3,6658441649.460593,16898925834.085888,21620558624.252357,19937248145.61753
KEPL3,344144618.3720106,687609261.5442466,903183340.158953,1187938093.2831433
ECOR3,6524924863.820028,11338621429.055609,9300452411.322289,5091945686.6218815
BRIV3,479619865.3305054,802107087.9180908,813069903.5247803,668259537.4603271
ABCB4,3088991221.0385337,3957724345.409974,3164873963.169816,3442160148.88633
HAPV3,23709716644.742867,48970499097.12432,58760376276.42459,40153887711.209915
CASN3,6351353343.930641,14290546263.620607,11447823821.855286,11073688216.303192
CRIV3,465933355.9155464,673577837.2950554,597445753.2877922,516473256.72769547
CBEE3,4089411009.687019,3193989047.8984375,3297700194.565925,3832582175.5076923
BRFS3,17701436161.967854,28412702131.122837,17790226346.866123,18177671907.122902
QUAL3,3075760927.4553003,9464843088.997927,8973206335.107422,4691761052.48447
ESTR3,24064600.0,24064600.0,24064600.0,48129200.0
MMXM3,13949200.6187439,16544399.690628052,110296000.0,90832000.0
MEAL3,2020515783.693626,2397721025.6575947,1201715008.0835912,693626490.1203107
YDUQ3,6808143428.098857,13863613752.369478,9789333988.70867,6211443060.410626
EQPA3,4158023513.6365633,6294135512.524512,6717557839.373309,11332529444.192616
