Ticker,2019 MC,2020 MC,2021 MC
CSMG3,6729263440.226943,5882847083.195977,4819390385.644553
DTCY3,56768608.93845558,82147519.2738533,84039807.12308884
COGN3,21414906791.05452,8674629767.807272,4608982512.367292
ATOM3,29532883.905466165,56943651.51763536,55043475.09683317
SYNE3,3878684067.1500607,2091222798.0814967,1099036785.178271
WLMM3,470756160.20615536,837478850.6746233,1350504114.8991394
SUZB3,52905699576.71676,78051909509.43248,80145201413.463
NORD3,31849365.866198517,41649170.99098055,84092920.00785285
UNIP3,2553454315.746134,3728551147.84859,9003562280.898443
TOTS3,12845733428.31906,17291278474.059093,17415353348.048046
CMIG3,12272352625.338867,13953581746.40256,19650003907.63764
BLUT3,5521120.119667052,4165935.916233062,8281679.880332945
ABEV3,274383564171.28192,236081512981.88406,242841868196.26462
LREN3,53224170483.59032,42016385953.39738,24088578250.493427
ATMP3,237435907.16953278,61428858.72645378,69441317.45290756
WEGE3,70563643955.01532,156112308984.68607,137431817290.96478
MTSA3,148601585.79944196,235749445.8947283,454795942.62857145
AFLT3,619709376.4273348,600903045.3109463,559563975.0350397
MAPT3,67715700.0,52099416.05140686,38545860.0
DMMO3,1493162061.6058033,708462173.5977862,265036201.8340853
PDGR3,406979864.1413875,216901991.8041339,74897514.3510254
UCAS3,254471204.93774417,268518478.78417975,278223746.52099615
TXRX3,7406901.155578965,138326002.19536492,72366275.26132403
BAZA3,869837500.7394463,1169852951.415771,1224083358.8630269
BIOM3,840423539.6461394,1098650421.5592794,879733668.9905877
ROMI3,859002650.1007587,1085405459.9380999,1341333150.7680695
CGRA3,516683307.4376403,641391185.1868714,743887033.710418
FHER3,194424850.17993152,159417612.37476173,989358660.5986216
MWET3,9802309.781931464,81471198.01488572,31507424.299065415
ELET3,49283432923.3631,53348204415.789116,52281973975.01032
CRPG3,690904961.7878754,832191664.9878409,2016604311.2331498
ITUB3,308824794528.3226,276922152160.75494,196740885067.60873
BSLI3,1996735292.1829224,6282177510.7421875,9111806246.429441
ALPA3,16766118866.210304,23198998105.236546,19006887612.277523
